name_file,dir_name,error_message,error_file,full_error
Y3PR85e7a9afd3ce3d.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/24.03.2020/Y3PR85e7a9afd3ce3d.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 24/03/2020 18:42:53  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 55.875 ms  Memory peak 2.00MB
0HHJ75e7b67ab72d47.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/0HHJ75e7b67ab72d47.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 09:16:11  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.483 ms  Memory peak 2.00MB
6M1UQ5e7b2a9b767a0.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/6M1UQ5e7b2a9b767a0.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 04:55:39  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.533 ms  Memory peak 2.00MB
7FX2B5e7b67a471805.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/7FX2B5e7b67a471805.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 09:16:04  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 58.582 ms  Memory peak 2.00MB
922WI5e7b67a6d3928.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/922WI5e7b67a6d3928.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 09:16:06  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 43.307 ms  Memory peak 2.00MB
AB85U5e7b2a9a71627.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/AB85U5e7b2a9a71627.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 04:55:38  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.259 ms  Memory peak 2.00MB
I9HUW5e7b2a983ac76.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/I9HUW5e7b2a983ac76.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 04:55:36  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.039 ms  Memory peak 2.00MB
L1N9Z5e7b2a99cc3ff.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/L1N9Z5e7b2a99cc3ff.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 04:55:37  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.625 ms  Memory peak 2.00MB
V2WW25e7b67aa264c3.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/V2WW25e7b67aa264c3.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 09:16:10  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 41.355 ms  Memory peak 6.00MB
ZUGGL5e7b2a95cfeb7.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.03.2020/ZUGGL5e7b2a95cfeb7.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 25/03/2020 04:55:33  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 37.461 ms  Memory peak 2.00MB
O02KR5ea4b95d45191.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/25.04.2020/O02KR5ea4b95d45191.error.html,Error message: ,Error file: /var/www/9prints/store/code/core/controller/alias.php [55], Server IP 172.31.18.188  Server time 25/04/2020 16:27:41  Error message   Error file /var/www/9prints/store/code/core/controller/alias.php [55]  Total process 0  Total time 9.138 ms  Memory peak 2.00MB
01FYS5e7f88502443e.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/01FYS5e7f88502443e.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 28/03/2020 12:24:32  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 9  Total time 55.697 ms  Memory peak 2.00MB
0Y74N5e7ffb0c9d8e2.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/0Y74N5e7ffb0c9d8e2.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 28/03/2020 20:34:04  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 9  Total time 101.123 ms  Memory peak 2.00MB
5DRPE5e7f4a523f3ae.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/5DRPE5e7f4a523f3ae.error.html,Error message: Class Cron_catalog_order_autoExport not found,Error file: /var/www/9prints/store/code/core/osecore.php [750], Server IP 172.31.18.188  Server time 28/03/2020 08:00:02  Error message Class Cron_catalog_order_autoExport not found  Error file /var/www/9prints/store/code/core/osecore.php [750]  Total process 7  Total time 128.090 ms  Memory peak 6.00MB
EPYXW5e7f884d3f142.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/EPYXW5e7f884d3f142.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 28/03/2020 12:24:29  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 9  Total time 44.089 ms  Memory peak 4.00MB
JO5RV5e7ffb097123d.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/JO5RV5e7ffb097123d.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 28/03/2020 20:34:01  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 9  Total time 59.686 ms  Memory peak 2.00MB
K1VIL5e7ff8af3330f.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/28.03.2020/K1VIL5e7ff8af3330f.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 28/03/2020 20:23:59  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 9  Total time 65.438 ms  Memory peak 6.00MB
